Name	Hsp20	Hsp40	Hsp60	Hsp70	Hsp90	Hsp100
Erythranthe_guttata	43	115	26	31	9	31
Nicotiana_attenuata	47	97	29	33	15	30
Solanum_tuberosum	44	89	27	27	11	24
Nicotiana_tabacum	82	193	59	60	21	59
Solanum_lycopersicum	35	95	27	28	8	28
Capsicum_annuum	42	103	38	45	63	32
Spinacia_oleracea	30	76	28	17	7	25
Gossypium_hirsutum	82	214	69	50	22	49
Gossypium_raimondii	52	127	39	32	16	32
Morus_notabilis	41	83	25	17	6	22
Citrus_clementina	53	88	20	30	6	26
Citrus_sinensis	51	85	30	27	7	23
Musa_acuminata	27	128	39	44	12	36
Setaria_italica	40	107	29	28	9	33
Sorghum_bicolor	39	103	28	34	7	32
Zea_mays	41	139	48	51	19	43
Oryza_sativa	32	87	27	35	9	25
Brachypodium_distachyon	28	89	27	31	9	42
Cyanidioschyzon_merolae	2	23	13	7	2	13
Emiliania_huxleyi	5	160	20	30	6	23
Physeter_catodon	8	44	20	19	9	14
Theileria_parva	1	19	10	6	4	10
Theileria_annulata	1	20	10	6	4	6
Theileria_equi	2	20	10	7	4	10
Cryptosporidium_muris	0	25	9	5	2	6
Cryptosporidium_parvum	0	22	9	5	2	4
Thalassiosira_pseudonana	6	58	11	16	5	17
Phytophthora_parasitica	0	41	14	18	3	10
Phytophthora_infestans	0	40	13	19	3	13
Aphanomyces_invadans	0	42	15	15	3	13
Aphanomyces_astaci	0	43	13	14	5	12
Lobosporangium_transversale	0	28	11	16	3	13
Batrachochytrium_dendrobatidis	3	33	10	6	2	12
Rhizophagus_irregularis	10	33	11	80	2	10
Helobdella_robusta	6	37	11	9	3	8
Phycomyces_blakesleeanus	0	31	15	32	4	16
Wallemia_ichthyophaga	4	22	9	7	1	9
Malassezia_pachydermatis	0	25	10	7	1	8
Malassezia_globosa	0	20	10	8	1	7
Pseudozyma_hubeiensis	1	25	10	7	1	8
Kalmanozyma_brasiliensis	1	24	10	7	1	8
Kockovaella_imperatae	0	20	10	7	3	7
Cryptococcus_neoformans	0	22	10	8	2	7
Cryptococcus_gattii	0	21	10	8	2	7
Mixia_osmundae	2	25	10	7	2	6
Rhodotorula_graminis	0	25	9	7	2	9
Melampsora_larici-populina	3	41	11	7	3	5
Heterobasidion_irregulare	4	32	10	9	2	6
Dictyostelium_purpureum	14	29	19	7	3	10
Postia_placenta	5	30	9	9	2	10
Schizosaccharomyces_japonicus	3	21	10	9	1	7
Pneumocystis_jirovecii	1	19	10	7	1	8
Pneumocystis_murina	1	20	10	7	1	8
Tuber_melanosporum	3	24	12	18	1	13
Marssonina_brunnea	3	28	10	11	1	11
Sclerotinia_sclerotiorum	2	29	10	9	1	10
Leptosphaeria_maculans	3	24	10	10	2	12
Bipolaris_zeicola	3	27	10	10	1	11
Parastagonospora_nodorum	3	34	10	11	1	10
Fonsecaea_erecta	8	24	10	14	1	11
Coccidioides_immitis	2	25	10	16	1	11
Uncinocarpus_reesii	2	23	10	10	1	10
Trichophyton_benhamiae	1	25	10	10	1	10
Nannizzia_gypsea	1	24	10	10	1	10
Microsporum_canis	1	26	10	9	1	11
Talaromyces_stipitatus	4	26	10	10	1	8
Aspergillus_terreus	4	25	10	10	1	8
Aspergillus_clavatus	2	26	10	9	1	9
Aspergillus_fumigatus	3	27	10	10	1	10
Aspergillus_thermomutatus	4	22	10	10	1	10
Aspergillus_novofumigatus	4	25	10	8	1	9
Aspergillus_niger	4	24	10	11	1	9
Aspergillus_sclerotioniger	5	24	10	12	1	9
Aspergillus_heteromorphus	4	26	10	12	1	10
Aspergillus_eucalypticola	4	26	10	13	1	9
Aspergillus_oryzae	3	28	10	11	1	9
Aspergillus_nomius	3	26	10	10	1	10
Pestalotiopsis_fici	2	27	10	10	1	7
Aspergillus_bombycis	4	26	10	9	1	9
Histoplasma_capsulatum	2	24	11	10	1	11
Blastomyces_gilchristii	2	28	9	10	1	10
Paracoccidioides_brasiliensis	2	25	10	9	1	11
Paracoccidioides_lutzii	2	25	11	9	1	11
Sordaria_macrospora	3	23	10	12	1	9
Neurospora_crassa	3	24	10	10	1	8
Thermothelomyces_thermophila	3	21	10	12	1	9
Chaetomium_globosum	2	21	10	13	1	7
Chaetomium_thermophilum	2	21	10	9	1	9
Thielavia_terrestris	3	23	10	10	1	9
Grosmannia_clavigera	1	28	10	11	2	10
Pochonia_chlamydosporia	6	24	10	15	1	7
Trichoderma_atroviride	4	25	10	15	1	10
Trichoderma_reesei	3	23	10	12	1	10
Trichoderma_virens	6	24	10	16	1	11
Fusarium_venenatum	3	25	10	12	1	8
Fusarium_graminearum	3	24	10	13	1	7
Fusarium_oxysporum	6	26	10	16	1	7
Fusarium_verticillioides	3	26	10	17	1	8
Colletotrichum_higginsianum	3	22	11	16	1	9
Colletotrichum_graminicola	2	26	10	11	1	8
Colletotrichum_orchidophilum	2	25	10	14	1	6
Verticillium_dahliae	1	23	10	12	1	8
Verticillium_alfalfae	1	20	10	10	1	8
Amborella_trichopoda	26	74	30	17	7	21
Baudoinia_panamericana	3	27	10	9	1	9
Zymoseptoria_tritici	4	27	11	11	1	11
Lucilia_cuprina	15	34	11	8	3	6
Candida_auris	0	19	10	8	1	7
Candida_haemulonis	0	21	10	9	1	7
Candida_pseudohaemulonis	0	21	10	8	1	7
Clavispora_lusitaniae	0	20	10	9	1	10
Metschnikowia_bicuspidata	0	20	9	9	1	8
Scheffersomyces_stipitis	1	22	10	14	1	9
Meyerozyma_guilliermondii	0	20	10	12	1	9
Talaromyces_marneffei	4	25	10	11	1	10
Candida_albicans	1	20	10	9	1	8
Candida_viswanathii	0	32	16	16	1	14
Candida_tropicalis	0	19	10	9	1	8
Lodderomyces_elongisporus	0	19	12	9	1	8
Spathaspora_passalidarum	2	20	10	9	1	7
Wickerhamomyces_anomalus	2	22	11	11	1	10
Tetrapisispora_blattae	1	20	10	10	1	10
Vanderwaltozyma_polyspora	0	19	10	14	1	10
Tetrapisispora_phaffii	1	17	11	13	1	10
Kluyveromyces_marxianus	1	18	10	9	1	10
Eremothecium_sinecaudum	2	18	10	9	1	10
Eremothecium_cymbalariae	2	16	9	8	1	8
Eremothecium_gossypii	7	18	10	9	1	11
Lachancea_thermotolerans	0	20	10	9	1	10
Lachancea_lanzarotensis	0	20	10	9	1	11
Naumovozyma_dairenensis	2	19	11	12	1	12
Kazachstania_naganishii	1	20	11	9	1	11
Kazachstania_africana	1	18	11	11	1	10
Saccharomyces_cerevisiae	1	19	11	14	2	10
Drosophila_ficusphila	12	39	14	13	4	9
Naumovozyma_castellii	2	19	10	12	1	11
Kuraishia_capsulata	2	20	10	8	1	10
Ogataea_parapolymorpha	2	21	10	9	1	9
Dipodomys_ordii	9	43	16	14	5	10
