Name	treepos	Nprot	Median	Mean	Std	Q1	Q3	Min	Max	Sum
Candida_auris	185	5407	-0.4	-0.4	0.39	-0.63	-0.18	-1.8	1.18	-2143.56
Candida_haemulonis	186	5240	-0.41	-0.41	0.39	-0.64	-0.2	-2.39	1.21	-2147.33
Candida_pseudohaemulonis	187	5132	-0.36	-0.35	0.38	-0.58	-0.15	-1.96	1.21	-1816.32
Clavispora_lusitaniae	188	5932	-0.34	-0.34	0.39	-0.57	-0.13	-3.06	2.15	-2031.72
Metschnikowia_bicuspidata	189	5826	-0.28	-0.26	0.41	-0.5	-0.06	-2.16	2.27	-1521.81
Scheffersomyces_stipitis	190	5797	-0.37	-0.36	0.39	-0.59	-0.16	-1.89	1.16	-2063.23
Meyerozyma_guilliermondii	191	5919	-0.35	-0.35	0.39	-0.58	-0.15	-1.85	1.32	-2045.96
Talaromyces_marneffei	192	10028	-0.35	-0.34	0.39	-0.57	-0.14	-2.33	1.39	-3432.14
Candida_albicans	193	6035	-0.42	-0.42	0.41	-0.68	-0.2	-2.08	2.2	-2553.23
Candida_viswanathii	194	10576	-0.38	-0.38	0.4	-0.62	-0.16	-2.71	1.61	-4020.99
Candida_tropicalis	195	6226	-0.41	-0.41	0.41	-0.65	-0.18	-2.74	1.46	-2526.45
Lodderomyces_elongisporus	196	5779	-0.42	-0.42	0.44	-0.68	-0.21	-2.02	2.5	-2409.23
Spathaspora_passalidarum	197	5973	-0.37	-0.37	0.39	-0.61	-0.17	-2.04	1.51	-2234.78
Wickerhamomyces_anomalus	198	6406	-0.38	-0.38	0.42	-0.62	-0.16	-2.63	1.62	-2431.92
Tetrapisispora_blattae	199	5385	-0.44	-0.44	0.38	-0.68	-0.22	-2.04	1.54	-2367.0
Vanderwaltozyma_polyspora	200	5314	-0.42	-0.42	0.39	-0.66	-0.21	-2.25	1.93	-2249.02
Tetrapisispora_phaffii	201	5238	-0.42	-0.42	0.37	-0.65	-0.21	-2.46	1.52	-2191.0
Kluyveromyces_marxianus	202	4926	-0.39	-0.4	0.38	-0.63	-0.2	-2.04	1.37	-1958.24
Eremothecium_sinecaudum	203	4524	-0.37	-0.37	0.36	-0.59	-0.18	-2.25	1.8	-1694.7
Eremothecium_cymbalariae	204	4429	-0.36	-0.37	0.36	-0.59	-0.17	-2.23	1.53	-1623.72
Eremothecium_gossypii	205	4758	-0.33	-0.33	0.36	-0.55	-0.13	-2.26	1.56	-1546.96
Lachancea_thermotolerans	206	5093	-0.36	-0.36	0.37	-0.59	-0.16	-1.99	1.39	-1851.92
Lachancea_lanzarotensis	207	5055	-0.36	-0.37	0.38	-0.6	-0.16	-2.25	1.43	-1851.04
Naumovozyma_dairenensis	208	5523	-0.45	-0.45	0.38	-0.69	-0.23	-2.45	1.58	-2494.67
Kazachstania_naganishii	209	5301	-0.38	-0.38	0.36	-0.61	-0.17	-1.83	1.29	-2002.95
Kazachstania_africana	210	5354	-0.4	-0.4	0.38	-0.63	-0.2	-2.25	1.43	-2145.22
Saccharomyces_cerevisiae	211	6049	-0.39	-0.39	0.41	-0.65	-0.17	-2.45	1.64	-2331.36
Drosophila_ficusphila	212	15031	-0.36	-0.36	0.42	-0.62	-0.13	-2.41	2.12	-5341.78
Naumovozyma_castellii	213	5565	-0.41	-0.42	0.38	-0.66	-0.21	-2.45	1.73	-2332.58
Kuraishia_capsulata	214	6027	-0.32	-0.31	0.39	-0.54	-0.1	-1.91	1.88	-1854.44
Ogataea_parapolymorpha	215	5338	-0.36	-0.35	0.38	-0.58	-0.16	-1.91	1.45	-1879.89
Dipodomys_ordii	216	19728	-0.34	-0.3	0.45	-0.58	-0.1	-3.58	1.63	-5928.41
