	Heterocephalus_glaber	Bos_taurus	Sus_scrofa	Pongo_abelii	Loxodonta_africana	Balaenoptera_acutorostrata	Delphinapterus_leucas	Tursiops_truncatus	Cavia_porcellus	Oryctolagus_cuniculus	Felis_catus	Ailuropoda_melanoleuca	Canis_lupus	Homo_sapiens	Pan_troglodytes	Pan_paniscus	Papio_anubis	Macaca_mulatta	Macaca_fascicularis	Macaca_nemestrina	Mandrillus_leucophaeus	Cercocebus_atys	Pteropus_alecto	Nomascus_leucogenys	Aotus_nancymaae	Ursus_maritimus	Rattus_norvegicus	Mus_musculus	Meleagris_gallopavo	Gallus_gallus	Anas_platyrhynchos	Manacus_vitellinus	Anolis_carolinensis	Alligator_mississippiensis	Alligator_sinensis	Xenopus_tropicalis	Nothobranchius_furzeri	Oryzias_latipes	Salmo_salar	Oncorhynchus_mykiss	Oreochromis_niloticus	Astyanax_mexicanus	Taeniopygia_guttata	Branchiostoma_floridae	Strongylocentrotus_purpuratus	Crassostrea_gigas	Cebus_capucinus	Tinamus_guttatus	Loa_loa	Strongyloides_ratti	Brugia_malayi	Caenorhabditis_elegans	Caenorhabditis_remanei	Zootermopsis_nevadensis	Oryza_brachyantha	Capsaspora_owczarzaki	Guillardia_theta	Auxenochlorella_protothecoides	Micromonas_pusilla	Micromonas_commoda	Ostreococcus_tauri	Ostreococcus_sp.	Physcomitrella_patens	Selaginella_moellendorffii	Habropoda_laboriosa	Cicer_arietinum	Cajanus_cajan	Eutrema_salsugineum	Arabidopsis_lyrata	Brassica_napus	Arabidopsis_thaliana	Rosa_chinensis	Prunus_persica	Populus_trichocarpa	Eucalyptus_grandis	Cucumis_sativus	Helianthus_annuus	Erythranthe_guttata	Nicotiana_attenuata	Solanum_tuberosum	Nicotiana_tabacum	Solanum_lycopersicum	Capsicum_annuum	Spinacia_oleracea	Gossypium_hirsutum	Gossypium_raimondii	Morus_notabilis	Citrus_clementina	Citrus_sinensis	Musa_acuminata	Setaria_italica	Sorghum_bicolor	Zea_mays	Oryza_sativa	Brachypodium_distachyon	Cyanidioschyzon_merolae	Emiliania_huxleyi	Physeter_catodon	Theileria_parva	Theileria_annulata	Theileria_equi	Cryptosporidium_muris	Cryptosporidium_parvum	Thalassiosira_pseudonana	Phytophthora_parasitica	Phytophthora_infestans	Aphanomyces_invadans	Aphanomyces_astaci	Lobosporangium_transversale	Batrachochytrium_dendrobatidis	Rhizophagus_irregularis	Helobdella_robusta	Phycomyces_blakesleeanus	Wallemia_ichthyophaga	Malassezia_pachydermatis	Malassezia_globosa	Pseudozyma_hubeiensis	Kalmanozyma_brasiliensis	Kockovaella_imperatae	Cryptococcus_neoformans	Cryptococcus_gattii	Mixia_osmundae	Rhodotorula_graminis	Melampsora_larici-populina	Heterobasidion_irregulare	Dictyostelium_purpureum	Postia_placenta	Schizosaccharomyces_japonicus	Pneumocystis_jirovecii	Pneumocystis_murina	Tuber_melanosporum	Marssonina_brunnea	Sclerotinia_sclerotiorum	Leptosphaeria_maculans	Bipolaris_zeicola	Parastagonospora_nodorum	Fonsecaea_erecta	Coccidioides_immitis	Uncinocarpus_reesii	Trichophyton_benhamiae	Nannizzia_gypsea	Microsporum_canis	Talaromyces_stipitatus	Aspergillus_terreus	Aspergillus_clavatus	Aspergillus_fumigatus	Aspergillus_thermomutatus	Aspergillus_novofumigatus	Aspergillus_niger	Aspergillus_sclerotioniger	Aspergillus_heteromorphus	Aspergillus_eucalypticola	Aspergillus_oryzae	Aspergillus_nomius	Pestalotiopsis_fici	Aspergillus_bombycis	Histoplasma_capsulatum	Blastomyces_gilchristii	Paracoccidioides_brasiliensis	Paracoccidioides_lutzii	Sordaria_macrospora	Neurospora_crassa	Thermothelomyces_thermophila	Chaetomium_globosum	Chaetomium_thermophilum	Thielavia_terrestris	Grosmannia_clavigera	Pochonia_chlamydosporia	Trichoderma_atroviride	Trichoderma_reesei	Trichoderma_virens	Fusarium_venenatum	Fusarium_graminearum	Fusarium_oxysporum	Fusarium_verticillioides	Colletotrichum_higginsianum	Colletotrichum_graminicola	Colletotrichum_orchidophilum	Verticillium_dahliae	Verticillium_alfalfae	Amborella_trichopoda	Baudoinia_panamericana	Zymoseptoria_tritici	Lucilia_cuprina	Candida_auris	Candida_haemulonis	Candida_pseudohaemulonis	Clavispora_lusitaniae	Metschnikowia_bicuspidata	Scheffersomyces_stipitis	Meyerozyma_guilliermondii	Talaromyces_marneffei	Candida_albicans	Candida_viswanathii	Candida_tropicalis	Lodderomyces_elongisporus	Spathaspora_passalidarum	Wickerhamomyces_anomalus	Tetrapisispora_blattae	Vanderwaltozyma_polyspora	Tetrapisispora_phaffii	Kluyveromyces_marxianus	Eremothecium_sinecaudum	Eremothecium_cymbalariae	Eremothecium_gossypii	Lachancea_thermotolerans	Lachancea_lanzarotensis	Naumovozyma_dairenensis	Kazachstania_naganishii	Kazachstania_africana	Saccharomyces_cerevisiae	Drosophila_ficusphila	Naumovozyma_castellii	Kuraishia_capsulata	Ogataea_parapolymorpha	Dipodomys_ordii
Dictyostelium_purpureum	0.46995	0.40726	0.40616	0.40832	0.41477	0.40537	0.49605	0.50434	0.4046	0.4023	0.4023	0.4023	0.4023	0.40459	0.40483	0.40462	0.40646	0.4023	0.40229	0.44395	0.46047	0.45865	0.403	0.40231	0.40861	0.46172	0.40306	0.40789	0.39076	0.39051	0.39974	0.40727	0.38178	0.47141	0.39167	0.38095	0.37707	0.37758	0.37546	0.38519	0.37662	0.46775	0.37197	0.35695	0.3306	0.32415	0.47507	0.47809	0.47505	0.83287	0.7044	0.7044	0.70437	0.61458	0.4025	0.16929	0.19953	0.25338	0.2221	0.22271	0.21846	0.21771	0.19277	0.21859	0.22813	0.23577	0.24708	0.23687	0.23989	0.23751	0.23746	0.23892	0.23875	0.26626	0.23601	0.23679	0.24483	0.2484	0.2515	0.25215	0.25449	0.33671	0.25219	0.25384	0.2383	0.23975	0.23731	0.23736	0.23892	0.24422	0.2376	0.2402	0.24756	0.24133	0.24265	0.27472	0.23861	0.28068	0.30005	0.29898	0.30697	0.26315	0.29272	0.28847	0.27566	0.2802	0.26788	0.26788	0.10571	0.18364	0.12817	0.22409	0.22409	0.10584	0.08308	0.09252	0.14504	0.14505	0.06389	0.06709	0.06785	0.13778	0.14572	0.15252	0.01514	0.0	0.02292	0.09232	0.10021	0.09703	0.09771	0.11308	0.11319	0.12923	0.15291	0.1276	0.15085	0.13923	0.14166	0.14793	0.15375	0.14922	0.1606	0.16652	0.17411	0.16983	0.1698	0.16981	0.16982	0.17312	0.17232	0.17017	0.16573	0.16733	0.16823	0.16732	0.14183	0.13858	0.14268	0.14103	0.17446	0.18099	0.16748	0.17132	0.17872	0.17377	0.17658	0.16997	0.18099	0.18158	0.18001	0.17291	0.17291	0.17445	0.17455	0.17123	0.17587	0.17115	0.19671	0.19586	0.11733	0.13122	0.12637	0.2806	0.1544	0.15285	0.15285	0.14917	0.16753	0.12521	0.13	0.12991	0.13201	0.13506	0.13601	0.1377	0.13471	0.14586	0.17222	0.15909	0.16259	0.16597	0.16226	0.16335	0.16173	0.16075	0.16153	0.15684	0.16234	0.16071	0.1615	0.16151	0.1599	0.16595	0.15335	0.40459
Postia_placenta	0.47101	0.40832	0.40722	0.40938	0.41583	0.40643	0.49711	0.5054	0.40566	0.40336	0.40336	0.40336	0.40336	0.40565	0.40589	0.40568	0.40752	0.40336	0.40335	0.44501	0.46153	0.45971	0.40406	0.40337	0.40967	0.46278	0.40412	0.40895	0.39182	0.39157	0.4008	0.40833	0.38284	0.47247	0.39273	0.38201	0.37813	0.37864	0.37652	0.38625	0.37768	0.46881	0.37303	0.35801	0.33166	0.32521	0.47613	0.47915	0.47611	0.83393	0.70546	0.70546	0.70543	0.61564	0.40356	0.17035	0.20059	0.25444	0.22316	0.22377	0.21952	0.21877	0.19383	0.21965	0.22919	0.23683	0.24814	0.23793	0.24095	0.23857	0.23852	0.23998	0.23981	0.26731	0.23707	0.23785	0.24589	0.24946	0.25256	0.25321	0.25555	0.33777	0.25325	0.2549	0.23936	0.24081	0.23837	0.23842	0.23998	0.24528	0.23866	0.24126	0.24862	0.24239	0.24371	0.27578	0.23967	0.28174	0.30111	0.30004	0.30803	0.26421	0.29378	0.28953	0.27672	0.28126	0.26894	0.26894	0.10677	0.1847	0.12923	0.22515	0.22515	0.1069	0.08414	0.09358	0.1461	0.14611	0.06495	0.06815	0.06891	0.13884	0.14678	0.15358	0.02377	0.02292	0.0	0.09338	0.10127	0.09809	0.09877	0.11414	0.11425	0.13029	0.15397	0.12866	0.15191	0.14029	0.14272	0.14899	0.15481	0.15028	0.16166	0.16758	0.17516	0.17089	0.17086	0.17087	0.17088	0.17418	0.17338	0.17123	0.16679	0.16839	0.16929	0.16838	0.14289	0.13964	0.14374	0.14209	0.17552	0.18205	0.16854	0.17238	0.17978	0.17483	0.17764	0.17103	0.18205	0.18264	0.18107	0.17397	0.17397	0.17551	0.17561	0.17229	0.17693	0.17221	0.19777	0.19692	0.11839	0.13228	0.12743	0.28166	0.15546	0.15391	0.15391	0.15023	0.16859	0.12627	0.13106	0.13097	0.13307	0.13612	0.13707	0.13876	0.13577	0.14692	0.17328	0.16015	0.16365	0.16703	0.16332	0.16441	0.16279	0.16181	0.16259	0.1579	0.1634	0.16177	0.16256	0.16257	0.16096	0.16701	0.15441	0.40565
Schizosaccharomyces_japonicus	0.45009	0.38741	0.38631	0.38847	0.39492	0.38552	0.4762	0.48448	0.38475	0.38245	0.38245	0.38245	0.38245	0.38473	0.38497	0.38476	0.38661	0.38245	0.38244	0.4241	0.44062	0.4388	0.38315	0.38245	0.38875	0.44186	0.38321	0.38803	0.37091	0.37065	0.37989	0.38742	0.36193	0.45155	0.37182	0.3611	0.35722	0.35773	0.35561	0.36534	0.35676	0.44789	0.35211	0.3371	0.31075	0.3043	0.45521	0.45824	0.4552	0.81302	0.68454	0.68455	0.68452	0.59473	0.38265	0.14944	0.17968	0.23353	0.20224	0.20286	0.1986	0.19785	0.17292	0.19873	0.20828	0.21592	0.22722	0.21702	0.22003	0.21765	0.2176	0.21907	0.2189	0.2464	0.21616	0.21694	0.22498	0.22855	0.23164	0.2323	0.23464	0.31686	0.23234	0.23399	0.21844	0.2199	0.21746	0.2175	0.21906	0.22436	0.21775	0.22035	0.2277	0.22148	0.22279	0.25486	0.21875	0.26083	0.2802	0.27913	0.28712	0.2433	0.27287	0.26861	0.25581	0.26035	0.24803	0.24802	0.08586	0.16378	0.10831	0.22022	0.22021	0.13115	0.10839	0.11783	0.17035	0.17036	0.11602	0.11922	0.11998	0.1899	0.19784	0.20465	0.09318	0.09232	0.09338	0.0	0.05756	0.05438	0.05506	0.07043	0.07054	0.08657	0.11026	0.08495	0.10819	0.09657	0.09901	0.10527	0.1111	0.10657	0.11795	0.12387	0.13145	0.12717	0.12715	0.12716	0.12717	0.13047	0.12967	0.12751	0.12308	0.12467	0.12557	0.12467	0.09918	0.09593	0.10003	0.09838	0.13181	0.13834	0.12483	0.12867	0.13607	0.13112	0.13393	0.12732	0.13833	0.13892	0.13736	0.13026	0.13026	0.1318	0.13189	0.12857	0.13321	0.12849	0.15405	0.15321	0.07467	0.08857	0.08372	0.23795	0.11174	0.1102	0.1102	0.10651	0.12488	0.08255	0.08735	0.08725	0.08936	0.09241	0.09335	0.09505	0.09206	0.1032	0.12957	0.11644	0.11993	0.12332	0.11961	0.1207	0.11908	0.1181	0.11888	0.11419	0.11968	0.11806	0.11885	0.11885	0.11725	0.1233	0.11069	0.38474
Pneumocystis_jirovecii	0.45798	0.3953	0.3942	0.39636	0.40281	0.39341	0.48409	0.49237	0.39264	0.39034	0.39034	0.39034	0.39034	0.39262	0.39286	0.39265	0.3945	0.39034	0.39033	0.43199	0.44851	0.44669	0.39104	0.39034	0.39664	0.44975	0.3911	0.39593	0.3788	0.37854	0.38778	0.39531	0.36982	0.45944	0.37971	0.36899	0.36511	0.36562	0.3635	0.37323	0.36465	0.45578	0.36001	0.34499	0.31864	0.31219	0.4631	0.46613	0.46309	0.82091	0.69244	0.69244	0.69241	0.60262	0.39054	0.15733	0.18757	0.24142	0.21013	0.21075	0.20649	0.20575	0.18081	0.20663	0.21617	0.22381	0.23512	0.22491	0.22792	0.22554	0.22549	0.22696	0.22679	0.25429	0.22405	0.22483	0.23287	0.23644	0.23953	0.24019	0.24253	0.32475	0.24023	0.24188	0.22634	0.22779	0.22535	0.22539	0.22695	0.23226	0.22564	0.22824	0.23559	0.22937	0.23069	0.26275	0.22665	0.26872	0.28809	0.28702	0.29501	0.25119	0.28076	0.2765	0.2637	0.26824	0.25592	0.25591	0.09375	0.17168	0.1162	0.22811	0.22811	0.13904	0.11628	0.12572	0.17824	0.17825	0.12391	0.12711	0.12787	0.19779	0.20574	0.21254	0.10107	0.10021	0.10127	0.05756	0.0	0.01667	0.06295	0.07832	0.07843	0.09446	0.11815	0.09284	0.11608	0.10446	0.1069	0.11317	0.11899	0.11446	0.12584	0.13176	0.13934	0.13507	0.13504	0.13505	0.13506	0.13836	0.13756	0.1354	0.13097	0.13257	0.13347	0.13256	0.10707	0.10382	0.10792	0.10627	0.1397	0.14623	0.13272	0.13656	0.14396	0.13901	0.14182	0.13521	0.14623	0.14681	0.14525	0.13815	0.13815	0.13969	0.13978	0.13647	0.14111	0.13639	0.16194	0.1611	0.08256	0.09646	0.09161	0.24584	0.11963	0.11809	0.11809	0.11441	0.13277	0.09045	0.09524	0.09515	0.09725	0.1003	0.10124	0.10294	0.09995	0.11109	0.13746	0.12433	0.12782	0.13121	0.1275	0.12859	0.12697	0.12599	0.12677	0.12208	0.12757	0.12595	0.12674	0.12674	0.12514	0.13119	0.11859	0.39263
Pneumocystis_murina	0.45481	0.39213	0.39103	0.39319	0.39964	0.39023	0.48091	0.4892	0.38946	0.38717	0.38716	0.38716	0.38716	0.38945	0.38969	0.38948	0.39132	0.38717	0.38716	0.42882	0.44533	0.44351	0.38786	0.38717	0.39347	0.44658	0.38792	0.39275	0.37562	0.37537	0.38461	0.39213	0.36664	0.45627	0.37653	0.36581	0.36193	0.36244	0.36032	0.37006	0.36148	0.45261	0.35683	0.34181	0.31546	0.30902	0.45993	0.46295	0.45991	0.81773	0.68926	0.68926	0.68923	0.59944	0.38736	0.15415	0.18439	0.23825	0.20696	0.20757	0.20332	0.20257	0.17763	0.20345	0.21299	0.22063	0.23194	0.22173	0.22475	0.22237	0.22232	0.22378	0.22361	0.25112	0.22087	0.22165	0.22969	0.23326	0.23636	0.23701	0.23935	0.32157	0.23705	0.2387	0.22316	0.22461	0.22217	0.22222	0.22378	0.22908	0.22246	0.22506	0.23242	0.22619	0.22751	0.25958	0.22347	0.26554	0.28491	0.28384	0.29183	0.24801	0.27759	0.27333	0.26053	0.26507	0.25274	0.25274	0.09057	0.1685	0.11303	0.22493	0.22493	0.13586	0.11311	0.12255	0.17507	0.17507	0.12073	0.12393	0.12469	0.19461	0.20256	0.20936	0.09789	0.09703	0.09809	0.05438	0.01667	0.0	0.05978	0.07515	0.07525	0.09129	0.11497	0.08966	0.11291	0.10129	0.10372	0.10999	0.11581	0.11128	0.12266	0.12859	0.13617	0.13189	0.13187	0.13188	0.13188	0.13519	0.13438	0.13223	0.12779	0.12939	0.13029	0.12938	0.10389	0.10064	0.10474	0.10309	0.13653	0.14305	0.12954	0.13338	0.14078	0.13584	0.13865	0.13203	0.14305	0.14364	0.14207	0.13497	0.13497	0.13651	0.13661	0.13329	0.13793	0.13321	0.15877	0.15792	0.07939	0.09329	0.08843	0.24266	0.11646	0.11491	0.11491	0.11123	0.1296	0.08727	0.09206	0.09197	0.09407	0.09712	0.09807	0.09976	0.09677	0.10792	0.13428	0.12115	0.12465	0.12804	0.12432	0.12541	0.1238	0.12281	0.12359	0.11891	0.1244	0.12277	0.12357	0.12357	0.12196	0.12801	0.11541	0.38945
Tuber_melanosporum	0.45549	0.39281	0.39171	0.39387	0.40032	0.39091	0.48159	0.48988	0.39014	0.38785	0.38784	0.38784	0.38784	0.39013	0.39037	0.39016	0.392	0.38785	0.38784	0.4295	0.44601	0.4442	0.38855	0.38785	0.39415	0.44726	0.38861	0.39343	0.3763	0.37605	0.38529	0.39281	0.36733	0.45695	0.37721	0.3665	0.36261	0.36312	0.36101	0.37074	0.36216	0.45329	0.35751	0.3425	0.31614	0.3097	0.46061	0.46363	0.4606	0.81842	0.68994	0.68995	0.68991	0.60013	0.38804	0.15484	0.18507	0.23893	0.20764	0.20825	0.204	0.20325	0.17832	0.20413	0.21367	0.22131	0.23262	0.22241	0.22543	0.22305	0.223	0.22446	0.22429	0.2518	0.22155	0.22233	0.23038	0.23394	0.23704	0.2377	0.24003	0.32226	0.23774	0.23938	0.22384	0.22529	0.22286	0.2229	0.22446	0.22976	0.22314	0.22575	0.2331	0.22687	0.22819	0.26026	0.22415	0.26622	0.28559	0.28452	0.29252	0.24869	0.27827	0.27401	0.26121	0.26575	0.25342	0.25342	0.09125	0.16918	0.11371	0.22562	0.22561	0.13654	0.11379	0.12323	0.17575	0.17576	0.12141	0.12461	0.12537	0.1953	0.20324	0.21004	0.09857	0.09771	0.09877	0.05506	0.06295	0.05978	0.0	0.03516	0.03526	0.0513	0.07498	0.04967	0.07292	0.0613	0.06373	0.07	0.07582	0.07129	0.08267	0.0886	0.09618	0.0919	0.09188	0.09188	0.09189	0.0952	0.09439	0.09224	0.0878	0.0894	0.0903	0.08939	0.0639	0.06065	0.06475	0.0631	0.09654	0.10306	0.08955	0.09339	0.10079	0.09585	0.09866	0.09204	0.10306	0.10365	0.10208	0.09498	0.09498	0.09652	0.09662	0.0933	0.09794	0.09322	0.11878	0.11793	0.0394	0.0533	0.04844	0.21903	0.09282	0.09128	0.09128	0.08759	0.10596	0.06363	0.06843	0.06833	0.07044	0.07349	0.07443	0.07613	0.07314	0.08428	0.11065	0.09752	0.10101	0.1044	0.10068	0.10178	0.10016	0.09917	0.09996	0.09527	0.10076	0.09914	0.09993	0.09993	0.09833	0.10438	0.09177	0.39014
Marssonina_brunnea	0.47086	0.40818	0.40708	0.40924	0.41569	0.40628	0.49696	0.50525	0.40551	0.40322	0.40322	0.40322	0.40322	0.4055	0.40574	0.40553	0.40738	0.40322	0.40321	0.44487	0.46139	0.45957	0.40392	0.40322	0.40952	0.46263	0.40398	0.4088	0.39167	0.39142	0.40066	0.40818	0.3827	0.47232	0.39258	0.38187	0.37798	0.37849	0.37638	0.38611	0.37753	0.46866	0.37288	0.35787	0.33152	0.32507	0.47598	0.479	0.47597	0.83379	0.70531	0.70532	0.70528	0.6155	0.40341	0.17021	0.20044	0.2543	0.22301	0.22363	0.21937	0.21862	0.19369	0.2195	0.22905	0.23668	0.24799	0.23778	0.2408	0.23842	0.23837	0.23984	0.23966	0.26717	0.23693	0.2377	0.24575	0.24932	0.25241	0.25307	0.25541	0.33763	0.25311	0.25476	0.23921	0.24066	0.23823	0.23827	0.23983	0.24513	0.23851	0.24112	0.24847	0.24224	0.24356	0.27563	0.23952	0.28159	0.30096	0.2999	0.30789	0.26407	0.29364	0.28938	0.27658	0.28112	0.2688	0.26879	0.10662	0.18455	0.12908	0.24099	0.24098	0.15192	0.12916	0.1386	0.19112	0.19113	0.13678	0.13998	0.14074	0.21067	0.21861	0.22541	0.11394	0.11308	0.11414	0.07043	0.07832	0.07515	0.03516	0.0	0.03274	0.04877	0.07246	0.04715	0.07039	0.05878	0.06121	0.06748	0.0733	0.06877	0.08015	0.08607	0.09365	0.08938	0.08935	0.08936	0.08937	0.09267	0.09187	0.08972	0.08528	0.08688	0.08778	0.08687	0.06138	0.05813	0.06223	0.06058	0.09401	0.10054	0.08703	0.09087	0.09827	0.09332	0.09613	0.08952	0.10054	0.10112	0.09956	0.09246	0.09246	0.094	0.09409	0.09078	0.09542	0.0907	0.11625	0.11541	0.03688	0.05077	0.04592	0.2344	0.10819	0.10665	0.10665	0.10296	0.12133	0.07901	0.0838	0.0837	0.08581	0.08886	0.0898	0.0915	0.08851	0.09965	0.12602	0.11289	0.11638	0.11977	0.11606	0.11715	0.11553	0.11455	0.11533	0.11064	0.11613	0.11451	0.1153	0.1153	0.1137	0.11975	0.10714	0.40551
Sclerotinia_sclerotiorum	0.47097	0.40829	0.40719	0.40935	0.41579	0.40639	0.49707	0.50536	0.40562	0.40332	0.40332	0.40332	0.40332	0.40561	0.40585	0.40564	0.40748	0.40333	0.40332	0.44498	0.46149	0.45967	0.40402	0.40333	0.40963	0.46274	0.40408	0.40891	0.39178	0.39153	0.40076	0.40829	0.3828	0.47243	0.39269	0.38197	0.37809	0.3786	0.37648	0.38622	0.37764	0.46877	0.37299	0.35797	0.33162	0.32517	0.47609	0.47911	0.47607	0.83389	0.70542	0.70542	0.70539	0.6156	0.40352	0.17031	0.20055	0.25441	0.22312	0.22373	0.21948	0.21873	0.19379	0.21961	0.22915	0.23679	0.2481	0.23789	0.24091	0.23853	0.23848	0.23994	0.23977	0.26728	0.23703	0.23781	0.24585	0.24942	0.25252	0.25317	0.25551	0.33773	0.25321	0.25486	0.23932	0.24077	0.23833	0.23838	0.23994	0.24524	0.23862	0.24122	0.24858	0.24235	0.24367	0.27574	0.23963	0.2817	0.30107	0.3	0.30799	0.26417	0.29375	0.28949	0.27669	0.28123	0.2689	0.2689	0.10673	0.18466	0.12919	0.24109	0.24109	0.15202	0.12927	0.13871	0.19123	0.19123	0.13689	0.14009	0.14085	0.21077	0.21872	0.22552	0.11405	0.11319	0.11425	0.07054	0.07843	0.07525	0.03526	0.03274	0.0	0.0404	0.06409	0.03878	0.06202	0.0504	0.05284	0.0591	0.06493	0.0604	0.07178	0.0777	0.08528	0.081	0.08098	0.08099	0.081	0.0843	0.0835	0.08134	0.07691	0.0785	0.0794	0.0785	0.05301	0.04976	0.05386	0.05221	0.08564	0.09217	0.07866	0.0825	0.0899	0.08495	0.08776	0.08115	0.09216	0.09275	0.09119	0.08409	0.08409	0.08563	0.08572	0.0824	0.08704	0.08232	0.10788	0.10704	0.0285	0.0424	0.03755	0.2345	0.1083	0.10675	0.10675	0.10307	0.12144	0.07911	0.08391	0.08381	0.08591	0.08896	0.08991	0.0916	0.08861	0.09976	0.12613	0.113	0.11649	0.11988	0.11616	0.11725	0.11564	0.11465	0.11543	0.11075	0.11624	0.11461	0.11541	0.11541	0.1138	0.11986	0.10725	0.40561
Leptosphaeria_maculans	0.487	0.42432	0.42322	0.42538	0.43183	0.42242	0.5131	0.52139	0.42165	0.41936	0.41936	0.41936	0.41936	0.42164	0.42188	0.42167	0.42352	0.41936	0.41935	0.46101	0.47753	0.47571	0.42006	0.41936	0.42566	0.47877	0.42012	0.42494	0.40781	0.40756	0.4168	0.42432	0.39884	0.48846	0.40872	0.39801	0.39413	0.39464	0.39252	0.40225	0.39367	0.4848	0.38902	0.37401	0.34766	0.34121	0.49212	0.49514	0.49211	0.84993	0.72145	0.72146	0.72143	0.63164	0.41956	0.18635	0.21658	0.27044	0.23915	0.23977	0.23551	0.23476	0.20983	0.23564	0.24519	0.25283	0.26413	0.25393	0.25694	0.25456	0.25451	0.25598	0.25581	0.28331	0.25307	0.25385	0.26189	0.26546	0.26855	0.26921	0.27155	0.35377	0.26925	0.2709	0.25535	0.25681	0.25437	0.25441	0.25597	0.26127	0.25466	0.25726	0.26461	0.25838	0.2597	0.29177	0.25566	0.29773	0.31711	0.31604	0.32403	0.28021	0.30978	0.30552	0.29272	0.29726	0.28494	0.28493	0.12276	0.20069	0.14522	0.25713	0.25712	0.16806	0.1453	0.15474	0.20726	0.20727	0.15293	0.15613	0.15688	0.22681	0.23475	0.24156	0.13008	0.12923	0.13029	0.08657	0.09446	0.09129	0.0513	0.04877	0.0404	0.0	0.02789	0.00597	0.06946	0.05784	0.06027	0.06654	0.07237	0.06784	0.07921	0.08514	0.09272	0.08844	0.08842	0.08843	0.08844	0.09174	0.09094	0.08878	0.08435	0.08594	0.08684	0.08594	0.06044	0.0572	0.0613	0.05965	0.09308	0.09961	0.0861	0.08994	0.09734	0.09239	0.0952	0.08859	0.0996	0.10019	0.09863	0.09153	0.09153	0.09307	0.09316	0.08984	0.09448	0.08976	0.11532	0.11448	0.03594	0.04984	0.04499	0.25054	0.12433	0.12279	0.12279	0.11911	0.13747	0.09515	0.09994	0.09984	0.10195	0.105	0.10594	0.10764	0.10465	0.1158	0.14216	0.12903	0.13252	0.13591	0.1322	0.13329	0.13167	0.13069	0.13147	0.12678	0.13228	0.13065	0.13144	0.13144	0.12984	0.13589	0.12329	0.42165
Bipolaris_zeicola	0.51069	0.44801	0.44691	0.44907	0.45552	0.44611	0.53679	0.54508	0.44534	0.44305	0.44304	0.44304	0.44304	0.44533	0.44557	0.44536	0.4472	0.44305	0.44304	0.4847	0.50121	0.49939	0.44374	0.44305	0.44935	0.50246	0.4438	0.44863	0.4315	0.43125	0.44049	0.44801	0.42252	0.51215	0.43241	0.42169	0.41781	0.41832	0.4162	0.42594	0.41736	0.50849	0.41271	0.39769	0.37134	0.3649	0.51581	0.51883	0.5158	0.87361	0.74514	0.74514	0.74511	0.65532	0.44324	0.21003	0.24027	0.29413	0.26284	0.26345	0.2592	0.25845	0.23351	0.25933	0.26887	0.27651	0.28782	0.27761	0.28063	0.27825	0.2782	0.27966	0.27949	0.307	0.27675	0.27753	0.28557	0.28914	0.29224	0.29289	0.29523	0.37745	0.29294	0.29458	0.27904	0.28049	0.27805	0.2781	0.27966	0.28496	0.27834	0.28094	0.2883	0.28207	0.28339	0.31546	0.27935	0.32142	0.34079	0.33972	0.34771	0.30389	0.33347	0.32921	0.31641	0.32095	0.30862	0.30862	0.14645	0.22438	0.16891	0.28081	0.28081	0.19174	0.16899	0.17843	0.23095	0.23096	0.17661	0.17981	0.18057	0.2505	0.25844	0.26524	0.15377	0.15291	0.15397	0.11026	0.11815	0.11497	0.07498	0.07246	0.06409	0.02789	0.0	0.02966	0.09315	0.08153	0.08396	0.09023	0.09605	0.09152	0.1029	0.10883	0.11641	0.11213	0.11211	0.11211	0.11212	0.11543	0.11462	0.11247	0.10803	0.10963	0.11053	0.10962	0.08413	0.08088	0.08498	0.08333	0.11677	0.12329	0.10978	0.11362	0.12102	0.11608	0.11889	0.11227	0.12329	0.12388	0.12231	0.11521	0.11521	0.11675	0.11685	0.11353	0.11817	0.11345	0.13901	0.13816	0.05963	0.07353	0.06867	0.27422	0.14802	0.14647	0.14647	0.14279	0.16116	0.11883	0.12363	0.12353	0.12564	0.12868	0.12963	0.13132	0.12833	0.13948	0.16585	0.15272	0.15621	0.1596	0.15588	0.15698	0.15536	0.15437	0.15515	0.15047	0.15596	0.15434	0.15513	0.15513	0.15352	0.15958	0.14697	0.44534
