,Name,HSP.20,HSP.40,HSP.60,HSP.70,HSP.90,HSP.100,sum_HSP,total_number_protein
141,Brugia_pahangi,14,33,10,9,4,6,76,14608
142,Brugia_timori,9,30,11,9,6,8,73,16185
143,Buceros_rhinoceros,4,23,11,8,2,7,55,10603
144,Bursaphelenchus_xylophilus,13,28,10,11,2,6,70,17486
145,Byssochlamys_spectabilis,4,26,10,10,1,10,61,8877
146,Caenorhabditis_brenneri,20,38,12,17,3,9,99,29979
147,Caenorhabditis_briggsae,19,28,10,19,3,6,85,21723
148,Caenorhabditis_elegans,16,29,10,11,3,7,76,19900
149,Caenorhabditis_japonica,16,31,19,18,6,10,100,28999
150,Caenorhabditis_remanei,26,31,12,24,5,10,108,31246
151,Caenorhabditis_tropicalis,20,29,12,14,4,9,88,27162
152,Cajanus_cajan,35,99,23,40,16,32,245,47180
153,Callithrix_jacchus,9,50,21,20,10,10,120,20990
154,Calocera_cornea,4,22,10,13,10,8,67,13076
155,Calocera_viscosa,3,28,11,9,2,8,61,12317
156,Calypte_anna,8,30,11,9,4,11,73,13267
157,Camelus_ferus,8,37,14,19,6,3,87,20003
158,Camponotus_floridanus,5,28,10,6,4,8,61,14787
159,Candida_albicans,1,20,10,9,1,8,49,6035
160,Candida_arabinofermentans,1,22,10,9,1,8,51,5823
161,Candida_auris,0,18,10,8,1,7,52,7458
162,Candida_glabrata,0,20,10,10,1,11,49,5200
163,Candida_intermedia,0,22,10,9,1,9,49,5919
164,Candida_maltosa,0,18,10,10,1,10,47,5976
165,Candida_parapsilosis,1,20,10,9,1,8,48,5777
166,Candida_tanzawaensis,0,20,10,9,1,7,47,5880
167,Candida_tenuis,1,18,10,9,1,9,114,5540
168,Candida_tropicalis,0,19,10,9,1,8,62,6226
169,Canis_lupus,10,50,21,17,5,11,60,20269
170,Capronia_coronata,6,25,11,10,1,9,55,9230
171,Capronia_epimyces,5,24,10,10,1,10,213,10469
172,Capsaspora_owczarzaki,1,27,9,8,3,7,242,8738
173,Capsella_rubella,27,103,25,19,10,29,42,26721
174,Capsicum_annuum,33,92,32,31,24,30,59,31180
175,Cariama_cristata,5,17,6,6,2,6,27,8694
176,Catenaria_anguillulae,2,29,10,7,2,9,101,12586
177,Cathartes_aura,1,11,5,3,0,7,175,7760
178,Cavia_porcellus,9,45,16,17,5,9,46,18242
179,Cephalotus_follicularis,35,77,23,13,6,21,50,36262
180,Ceraceosorus_bombacis,1,22,10,7,0,6,54,8017
181,Ceratocystis_fimbriata,2,21,10,8,1,8,54,5620
182,Ceriporiopsis_subvermispora,5,21,10,9,3,6,52,12077
183,Chaetomium_globosum,2,21,10,13,1,7,20,11042
184,Chaetomium_thermophilum,2,21,10,9,1,9,66,7183
185,Chaetura_pelagica,2,11,3,2,0,2,82,3162
186,Charadrius_vociferus,6,26,12,8,4,10,106,14257
187,Chelonia_mydas,8,37,14,12,3,8,40,18960
188,Chlamydomonas_reinhardtii,7,53,13,12,3,18,92,14243
189,Chlamydotis_macqueenii,4,21,5,4,2,4,95,8277
190,Chlorella_variabilis,3,41,11,14,5,18,86,9831
191,Chlorocebus_sabaeus,8,42,17,13,4,11,118,19141
192,Choanephora_cucurbitarum,5,33,12,19,4,13,201,11924
193,Chrysochromulina_sp.,1,75,11,16,5,10,57,16663
194,Cicer_arietinum,31,91,23,22,6,28,51,24569
195,Ciona_intestinalis,3,27,13,7,4,3,223,16678
196,Ciona_savignyi,3,23,10,8,3,4,223,11592
197,Citrus_clementina,53,88,20,30,6,26,65,24934
198,Citrus_sinensis,51,85,30,27,7,23,63,28132
199,Cladophialophora_carrionii,7,26,10,11,1,10,65,11181
200,Cladophialophora_immunda,8,24,10,8,1,12,63,12829
201,Cladophialophora_psammophila,8,24,10,11,1,11,60,13417
202,Cladophialophora_yegresii,6,25,10,11,1,10,50,10118
203,Claviceps_purpurea,4,22,10,15,1,8,75,8814
204,Clavispora_lusitaniae,0,20,10,9,1,10,67,5932
205,Clohesyomyces_aquaticus,4,31,9,20,1,10,66,15803
206,Clonorchis_sinensis,5,25,13,17,3,4,59,13606
207,Clunio_marinus,8,30,10,8,3,7,59,21611
208,Coccidioides_immitis,2,25,10,10,1,11,95,10401
209,Coccidioides_posadasii,2,26,10,9,1,11,60,10209
210,Coccomyxa_subellipsoidea,6,45,12,10,3,19,63,9763
211,Cochliobolus_heterostrophus,3,26,10,10,1,10,30,12852
212,Cochliobolus_sativus,4,27,10,10,1,11,58,12174
213,Colius_striatus,2,15,2,3,3,5,58,7080
214,Colletotrichum_chlorophyti,2,22,10,13,1,10,56,10302
215,Colletotrichum_fioriniae,2,25,10,13,1,7,58,13759
216,Colletotrichum_gloeosporioides,1,22,10,14,1,8,62,16388
217,Colletotrichum_graminicola,2,26,10,11,1,8,56,12019
218,Colletotrichum_higginsianum,3,22,11,16,1,9,54,16110
219,Colletotrichum_incanum,1,24,9,13,1,8,58,12795
220,Colletotrichum_orbiculare,2,23,10,11,1,7,57,13346
221,Colletotrichum_orchidophilum,2,25,10,14,1,6,62,14493
222,Colletotrichum_salicis,2,25,10,12,1,7,56,13783
223,Colletotrichum_sublineola,2,27,10,14,1,8,20,12697
224,Colletotrichum_tofieldiae,2,25,8,12,1,8,67,12499
225,Columba_livia,1,12,2,1,0,4,56,3814
226,Conidiobolus_coronatus,13,23,9,10,2,10,4,10563
227,Coniochaeta_ligniaria,2,25,10,11,1,7,64,13654
228,Coniophora_puteana,1,0,0,2,1,0,66,1010
229,Coniosporium_apollinis,2,30,10,10,1,11,182,9306
230,Coprinopsis_cinerea,7,31,10,8,2,8,205,13334
231,Corchorus_capsularis,29,80,22,21,9,21,62,29063
232,Corchorus_olitorius,40,80,21,16,10,38,57,35465
233,Cordyceps_confragosa,6,24,10,13,1,8,72,11019
234,Cordyceps_militaris,2,23,10,12,1,9,160,9651
235,Corvus_brachyrhynchos,6,30,10,10,4,12,109,13621
236,Crassostrea_gigas,13,40,14,84,3,6,50,25946
237,Cricetulus_griseus,7,39,23,20,14,6,49,23881
238,Cryptococcus_amylolentus,0,21,10,8,2,9,48,8246
239,Cryptococcus_depauperatus,0,21,10,9,2,7,49,6530
240,Cryptococcus_gattii,0,20,11,9,2,6,47,6471
241,Cryptococcus_neoformans,0,22,10,8,2,7,42,6603
242,Cryptosporidium_muris,0,25,9,5,2,6,41,3930
243,Cryptosporidium_parvum,0,22,9,5,2,4,77,3805
244,Cryptosporidium_ubiquitum,0,22,9,5,2,3,176,3765
245,Cuculus_canorus,6,34,12,11,3,11,178,13582
246,Cucumis_melo,32,80,18,14,7,25,123,19473
247,Cucumis_sativus,34,79,18,14,6,27,48,23744
248,Culex_quinquefasciatus,10,30,58,11,6,8,60,18662
249,Cutaneotrichosporon_oleaginosum,0,21,10,7,2,8,52,8317
250,Cyanidioschyzon_merolae,2,23,13,7,2,13,51,4991
251,Cyberlindnera_fabianii,2,21,11,8,0,10,61,5507
252,Cyberlindnera_jadinii,0,21,11,9,1,9,65,5992
253,Cyclospora_cayetanensis,2,24,11,5,5,14,62,7151
254,Cylindrobasidium_torrendii,5,30,10,9,3,8,63,13892
255,Cyphellophora_europaea,5,27,10,10,1,9,62,11090
256,Cyphomyrmex_costatus,5,29,12,7,3,7,65,15716
257,Dacryopinax_primogenitus,4,27,10,9,2,10,69,10233
258,Dactylellina_haptotyla,3,29,10,12,1,10,84,10959
259,Daedalea_quercina,7,34,10,9,2,7,115,12169
260,Danaus_plexippus,18,30,13,13,3,7,73,15140
261,Danio_rerio,13,53,14,19,5,11,145,25231
262,Daphnia_magna,6,33,13,10,4,7,277,26600
263,Daphnia_pulex,10,33,14,14,66,8,47,30021
264,Daucus_carota,25,111,29,65,18,29,79,31771
265,Debaryomyces_hansenii,0,19,10,9,1,8,120,6284
266,Dendroctonus_ponderosae,11,31,11,15,3,8,62,12069
267,Diaphorina_citri,8,38,19,29,14,12,73,18136
268,Diaporthe_ampelina,2,26,10,13,1,10,192,10703
269,Diaporthe_helianthi,2,32,11,17,1,10,39,14219
270,Dichanthelium_oligosanthes,25,76,25,30,10,26,80,26441
271,Dichomitus_squalens,10,12,2,9,1,5,79,7183
272,Dictyocaulus_viviparus,21,24,14,7,5,9,81,14161
273,Dictyostelium_discoideum,11,27,18,11,3,9,73,12737
274,Dictyostelium_fasciculatum,12,25,18,12,3,11,82,12152
275,Dictyostelium_lacteum,9,26,18,10,4,6,60,10208
276,Dictyostelium_purpureum,14,29,19,7,3,10,59,12347
277,Didymella_rabiei,3,25,9,10,2,11,56,10558
278,Diplodia_corticola,3,24,10,12,1,9,97,10833
279,Diplodia_seriata,3,21,10,11,1,10,58,9342
280,Dipodomys_ordii,9,43,16,14,5,10,70,19728
281,Dothistroma_septosporum,2,25,10,11,1,9,58,12399
282,Dracunculus_medinensis,13,28,10,6,4,9,44,10898
283,Drechmeria_coniospora,3,23,11,11,1,9,79,8231
284,Drechslerella_stenobrocha,3,20,5,9,0,7,71,5595
285,Drosophila_ananassae,10,35,14,13,3,4,91,14148
286,Drosophila_busckii,9,31,13,11,3,4,82,11914
287,Drosophila_ficusphila,12,39,14,13,4,9,83,15031
288,Drosophila_grimshawi,12,36,13,14,3,4,80,14689
289,Drosophila_melanogaster,11,37,13,15,3,4,94,13761
290,Drosophila_mojavensis,11,37,14,11,3,4,87,13297
291,Drosophila_persimilis,10,45,15,14,5,5,79,16737
292,Drosophila_pseudoobscura,11,41,15,11,3,6,78,14389
293,Drosophila_sechellia,9,36,14,12,3,5,85,16097
294,Drosophila_simulans,9,34,13,13,3,6,82,15344
295,Drosophila_virilis,11,35,13,17,3,6,64,13486
296,Drosophila_willistoni,10,38,13,12,4,5,94,13594
297,Dufourea_novaeangliae,9,27,11,7,4,6,98,11355
298,Echinococcus_granulosus,4,27,10,44,5,4,86,11279
299,Echinococcus_multilocularis,4,26,10,48,5,5,103,10472
300,Echinostoma_caproni,8,24,14,30,5,5,34,18521
301,Ectocarpus_siliculosus,2,49,12,22,4,14,65,16334
302,Edhazardia_aedis,0,14,8,6,1,5,60,4189
303,Egretta_garzetta,8,24,12,7,4,10,45,13489
304,Eimeria_acervulina,2,25,11,8,6,8,57,6867
305,Eimeria_brunetti,2,17,8,6,4,8,33,8711
306,Eimeria_maxima,2,22,11,6,5,11,61,6057
307,Eimeria_mitis,0,14,9,2,3,5,30,10057
308,Eimeria_necatrix,3,25,13,7,4,9,67,8608
309,Eimeria_praecox,1,11,7,3,3,5,68,7635
310,Eimeria_tenella,3,27,15,6,5,11,62,8595
311,Elaeophora_elaphi,11,29,10,7,2,9,63,10392
312,Emergomyces_pasteuriana,2,28,10,10,1,11,244,8944
