name	superkingdom	kingdom	phylum	subphylum	class	order	family
Babesia bovis	Eukaryota	Protista	Aconoidasida	Babesiidae	Babesia bovis	Eukaryota	Apicomplexa
Babesia bigemina	Eukaryota	Protista	Aconoidasida	Babesiidae	Babesia bigemina	Eukaryota	Apicomplexa
Babesia equi	Eukaryota	Protista	Aconoidasida	Theileriidae	Babesia equi	Eukaryota	Apicomplexa
Theileria orientalis	Eukaryota	Protista	Aconoidasida	Theileriidae	Theileria orientalis	Eukaryota	Apicomplexa
Theileria parva	Eukaryota	Protista	Aconoidasida	Theileriidae	Theileria parva	Eukaryota	Apicomplexa
Theileria annulata	Eukaryota	Protista	Aconoidasida	Theileriidae	Theileria annulata	Eukaryota	Apicomplexa
Plasmodium yoelii	Eukaryota	Protista	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium yoelii	Eukaryota
Plasmodium berghei	Eukaryota	Protista	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium berghei	Eukaryota
Amphimedon queenslandica	Eukaryota	Animalia	Porifera	Demospongiae	Haplosclerida	Niphatidae	Amphimedon queenslandica
Malassezia pachydermatis	Eukaryota	Fungi	Basidiomycota	Ustilaginomycotina	Malasseziomycetes	Malasseziales	Malasseziaceae
Malassezia globosa	Eukaryota	Fungi	Basidiomycota	Ustilaginomycotina	Malasseziomycetes	Malasseziales	Malasseziaceae
Kalmanozyma brasiliensis	Eukaryota	Fungi	Basidiomycota	Ustilaginomycotina	Ustilaginomycetes	Ustilaginales	Ustilaginaceae
Ustilago maydis	Eukaryota	Fungi	Basidiomycota	Ustilaginomycotina	Ustilaginomycetes	Ustilaginales	Ustilaginaceae
Mixia osmundae	Eukaryota	Fungi	Basidiomycota	Pucciniomycotina	Mixiomycetes	Mixiales	Mixiaceae
Cryptococcus neoformans	Eukaryota	Fungi	Basidiomycota	Agaricomycotina	Tremellomycetes	Tremellales	Cryptococcaceae
Cryptococcus gattii	Eukaryota	Fungi	Basidiomycota	Agaricomycotina	Tremellomycetes	Tremellales	Cryptococcaceae
Trichosporon asahii	Eukaryota	Fungi	Basidiomycota	Agaricomycotina	Tremellomycetes	Trichosporonales	Trichosporonaceae
Heterobasidion irregulare	Eukaryota	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Russulales	Bondarzewiaceae
Gloeophyllum trabeum	Eukaryota	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Gloeophyllales	Gloeophyllaceae
Dichomitus squalens	Eukaryota	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Polyporales	Polyporaceae
Coniophora puteana	Eukaryota	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Boletales	Coniophoraceae
Serpula lacrymans	Eukaryota	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Boletales	Serpulaceae
Helobdella robusta	Eukaryota	Animalia	Annelida	Clitellata	Hirudinida	Glossiphoniidae	Helobdella robusta
Phycomyces blakesleeanus	Eukaryota	Fungi	Mucoromycota	Mucoromycotina	Mucoromycetes	Mucorales	Phycomycetaceae
Dictyostelium discoideum	Eukaryota	Protista	Dictyosteliaceae	Dictyostelium discoideum	Eukaryota	Dictyosteliales	Dictyosteliaceae
Phytophthora sojae	Eukaryota	Protista	Peronosporales	Peronosporaceae	Phytophthora sojae	Eukaryota	Oomycetes
Phaeodactylum tricornutum	Eukaryota	Protista	Bacillariophyceae	Naviculales	Phaeodactylaceae	Phaeodactylum tricornutum	Eukaryota
Strongylocentrotus purpuratus	Eukaryota	Animalia	Echinodermata	Echinoidea	Echinoida	Strongylocentrotidae	Strongylocentrotus purpuratus
Crassostrea gigas	Eukaryota	Animalia	Mollusca	Bivalvia	Ostreoida	Ostreidae	Crassostrea gigas
Caenorhabditis elegans	Eukaryota	Animalia	Nematoda	Chromadorea	Rhabditida	Rhabditidae	Caenorhabditis elegans
Loa loa	Eukaryota	Animalia	Nematoda	Chromadorea	Rhabditida	Onchocercidae	Loa loa
Tinamus guttatus	Eukaryota	Animalia	Chordata	Craniata	Aves	Tinamiformes	Tinamidae
Camponotus floridanus	Eukaryota	Animalia	Arthropoda	Hexapoda	Insecta	Hymenoptera	Formicidae
Trachymyrmex zeteki	Eukaryota	Animalia	Arthropoda	Hexapoda	Insecta	Hymenoptera	Formicidae
Trachymyrmex cornetzi	Eukaryota	Animalia	Arthropoda	Hexapoda	Insecta	Hymenoptera	Formicidae
Papilio machaon	Eukaryota	Animalia	Arthropoda	Hexapoda	Insecta	Lepidoptera	Papilionidae
Dufourea novaeangliae	Eukaryota	Animalia	Arthropoda	Hexapoda	Insecta	Hymenoptera	Halictidae
Drosophila mojavensis	Eukaryota	Animalia	Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae
Drosophila melanogaster	Eukaryota	Animalia	Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae
Anopheles gambiae	Eukaryota	Animalia	Arthropoda	Hexapoda	Insecta	Diptera	Culicidae
Oryza brachyantha	Eukaryota	Plantae	Streptophyta	Streptophytina	Liliopsida	Poales	Poaceae
Branchiostoma floridae	Eukaryota	Animalia	Chordata	Cephalochordata	Branchiostomidae	Branchiostoma floridae	Eukaryota
Taeniopygia guttata	Eukaryota	Animalia	Chordata	Craniata	Aves	Passeriformes	Estrildidae
